Mountain,Sentence
Mount Everest,"Waugh's proposed name prevailed despite the objections, and in 1865, the Royal Geographical Society officially adopted Mount Everest as the name for the highest mountain in the world"
K2,""" Of the five highest mountains in the world, K2 is the deadliest; approximately one person dies on the mountain for every four who reach the summit"
Kangchenjunga,"Its summit lies at 8,586 m (28,169 ft) in a section of the Himalayas, the Kangchenjunga Himal, which is bounded in the west by the Tamur River, in the north by the Lhonak River and Jongsang La, and in the east by the Teesta River"
Lhotse,"With Everest to the north and Nuptse to the west, Lhotse forms the apex of the massive horseshoe-shaped arc of the Everest massif"
Makalu,"One of the eight-thousanders, Makalu is an isolated peak in the shape of a four-sided pyramid"
Cho Oyu,"Just a few kilometres west of Cho Oyu is Nangpa La (5,716m/18,753 ft), a glaciated pass that serves as the main trading route between the Tibetans and the Khumbu's Sherpas"
Dhaulagiri,"Annapurna I (8,091 m (26,545 ft)) is 34 km (21 mi) east of Dhaulagiri"
Manaslu,"The name Manaslu means ""mountain of the spirit"" and is derived from the Sanskrit word manasa, meaning ""intellect"" or ""soul"""
Nanga Parbat,"Lying immediately southeast of the northernmost bend of the Indus River in the Gilgit-Baltistan region of Pakistan-administered Kashmir, Nanga Parbat is the westernmost major peak of the Himalayas, and thus in the traditional view of the Himalayas as bounded by the Indus and Yarlung Tsangpo/Brahmaputra rivers, it is the western anchor of the entire mountain range"
Annapurna,"The entire massif and surrounding area are protected within the 7,629-square-kilometre (2,946 sq mi) Annapurna Conservation Area, the first and largest conservation area in Nepal"
Broad Peak,"'Broad Peak'; Urdu: بروڈ پیک) is one of the eight-thousanders, and is located in the Karakoram range spanning Gilgit-Baltistan, Pakistan and Xinjiang, China"
Shishapangma,"Geography
Shishapangma is located in south-central Tibet, five kilometres from the border with Nepal"
Gyachung Kang,"External links
Slovene Gyachung Kang '99 Expedition at MountainZone"
Annapurna II,"03 mi) and prominence (2,437 m or 7,995 ft), Annapurna II does not rank far behind Annapurna I Main, which serves as the western anchor"
Himalchuli,The West Peak was first climbed in 1978 by two members of a Japanese expedition to the main peak of Himalchuli
Distaghil Sar,"Disteghil Sar or Distaghil Sar (Urdu: دستاغل سر) is the highest mountain in the Shimshal Valley, part of the Karakoram mountain range in Gilgit-Baltistan, Pakistan"
Ngadi Chuli,"Despite its top 20 height, Ngadi Chuli has only been climbed once or twice"
